"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword car should display the corresponding article","SUCCESS","2022-05-02T08:26:02.9753137+03:00[Europe/Bucharest]","0.0","8.17"
"Search by keyword story","Searching by keyword telephone should display the corresponding article","FAILURE","2022-05-02T08:26:11.7675038+03:00[Europe/Bucharest]","0.0","3.22"
"Search by keyword story","Searching by keyword banana should display the corresponding article","FAILURE","2022-05-02T08:26:15.1060083+03:00[Europe/Bucharest]","0.0","3.42"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2022-05-02T08:26:18.5268035+03:00[Europe/Bucharest]","0.0","0.35"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2022-05-02T08:26:18.9363522+03:00[Europe/Bucharest]","0.0","3.91"
